id,name,category,unitPrice
P-1000,Quartz Vase,Apparel,241.89
P-1001,Ember Planter,Grocery,104
P-1002,Quartz Planter,Garden,236.02
P-1003,Quartz Lamp,Grocery,12.87
P-1004,Verde Lamp,Toys,238.34
P-1005,Onyx Desk,Garden,247.54
P-1006,Aurora Rug,Electronics,61.57
P-1007,Lumen Mug,Toys,221.69
P-1008,Quartz Kettle,Electronics,219.45
P-1009,Cobalt Kettle,Toys,175.66
P-1010,Nimbus Rug,Electronics,30.48
P-1011,Quartz Clock,Garden,16.73
P-1012,Onyx Kettle,Garden,292.26
P-1013,Pebble Mug,Garden,74.45
P-1014,Pebble Planter,Toys,282.46
P-1015,Verde Mug,Home,84.41
P-1016,Ember Kettle,Apparel,274.72
P-1017,Harbor Stool,Apparel,66.98
P-1018,Harbor Planter,Grocery,201.21
P-1019,Cobalt Planter,Toys,85.19
P-1020,Quartz Chair,Garden,22.26
P-1021,Aurora Kettle,Grocery,264.47
P-1022,Verde Stool,Electronics,128.46
P-1023,Verde Vase,Toys,193.58
P-1024,Aurora Mug,Electronics,97.94
P-1025,Verde Stool,Home,63.84
P-1026,Quartz Desk,Home,291.7
P-1027,Aurora Desk,Grocery,182.27
P-1028,Nimbus Chair,Electronics,230.33
P-1029,Aurora Mug,Electronics,163.29
P-1030,Nimbus Stool,Home,277.78
P-1031,Harbor Planter,Electronics,76.83
P-1032,Lumen Mug,Apparel,164.38
P-1033,Lumen Rug,Apparel,49.66
P-1034,Pebble Desk,Home,91.25
P-1035,Cobalt Lamp,Toys,24.03
P-1036,Quartz Kettle,Electronics,249.25
P-1037,Cobalt Rug,Home,102.5
P-1038,Pebble Mug,Electronics,292.72
P-1039,Quartz Kettle,Toys,215.49
P-1040,Harbor Vase,Home,189.85
P-1041,Ember Chair,Apparel,182.58
P-1042,Lumen Mug,Garden,184.87
P-1043,Lumen Kettle,Apparel,140.78
P-1044,Verde Planter,Garden,268.2
P-1045,Lumen Vase,Toys,260.93
P-1046,Nimbus Lamp,Electronics,152.13
P-1047,Cobalt Vase,Electronics,293.49
P-1048,Harbor Clock,Garden,213.75
P-1049,Ember Kettle,Toys,191.82
P-1050,Lumen Desk,Toys,209.81
P-1051,Quartz Stool,Garden,196.3
P-1052,Lumen Lamp,Grocery,257.74
P-1053,Aurora Vase,Electronics,290.85
P-1054,Lumen Planter,Garden,15.7
P-1055,Verde Kettle,Grocery,18.36
P-1056,Nimbus Chair,Toys,256.55
P-1057,Ember Planter,Apparel,144.81
P-1058,Quartz Stool,Electronics,63.11
P-1059,Nimbus Lamp,Grocery,185.2
P-1060,Cobalt Kettle,Garden,85.46
P-1061,Ember Planter,Electronics,72.94
P-1062,Ember Stool,Toys,143.43
P-1063,Nimbus Rug,Apparel,48.31
P-1064,Quartz Planter,Garden,95.09
P-1065,Aurora Kettle,Garden,17.45
P-1066,Cobalt Rug,Electronics,288.75
P-1067,Pebble Vase,Apparel,199.11
P-1068,Aurora Desk,Electronics,65.2
P-1069,Onyx Planter,Toys,71.49
P-1070,Quartz Vase,Garden,128.67
P-1071,Verde Kettle,Home,179.72
P-1072,Lumen Mug,Grocery,263.69
P-1073,Harbor Desk,Electronics,62.29
P-1074,Onyx Stool,Electronics,196.9
P-1075,Ember Chair,Electronics,177.79
P-1076,Aurora Mug,Apparel,27.99
P-1077,Aurora Rug,Apparel,220.41
P-1078,Lumen Chair,Garden,157.69
P-1079,Onyx Desk,Toys,220.2
P-1080,Harbor Clock,Grocery,16.55
P-1081,Pebble Mug,Home,171.49
P-1082,Nimbus Stool,Apparel,9.31
P-1083,Onyx Kettle,Electronics,13.13
P-1084,Onyx Rug,Toys,42.36
P-1085,Cobalt Stool,Grocery,211.17
P-1086,Quartz Stool,Electronics,65.01
P-1087,Cobalt Lamp,Toys,44.51
P-1088,Ember Planter,Grocery,274.5
P-1089,Ember Kettle,Toys,79.96
P-1090,Harbor Rug,Grocery,112.25
P-1091,Cobalt Rug,Toys,137.52
P-1092,Verde Mug,Toys,87.05
P-1093,Aurora Chair,Grocery,231.41
P-1094,Ember Rug,Garden,155.08
P-1095,Pebble Rug,Home,176.51
P-1096,Cobalt Chair,Apparel,237.96
P-1097,Ember Mug,Garden,220.08
P-1098,Pebble Chair,Home,262.49
P-1099,Harbor Clock,Garden,208.92
P-1100,Onyx Stool,Toys,291.72
P-1101,Lumen Chair,Apparel,110.37
P-1102,Nimbus Clock,Toys,179.5
P-1103,Verde Planter,Toys,53.12
P-1104,Nimbus Stool,Garden,90.45
P-1105,Verde Lamp,Grocery,173.8
P-1106,Cobalt Mug,Apparel,49.87
P-1107,Nimbus Planter,Apparel,95.9
P-1108,Verde Vase,Garden,276.44
P-1109,Quartz Chair,Electronics,170.69
P-1110,Onyx Stool,Electronics,156.78
P-1111,Verde Lamp,Electronics,111.88
P-1112,Lumen Vase,Apparel,67.16
P-1113,Harbor Kettle,Garden,248.89
P-1114,Quartz Planter,Apparel,280.33
P-1115,Ember Kettle,Garden,67.26
P-1116,Harbor Stool,Electronics,71.1
P-1117,Lumen Desk,Apparel,246.26
P-1118,Quartz Planter,Apparel,243.54
P-1119,Harbor Mug,Toys,220.38
P-1120,Harbor Chair,Electronics,273.92
P-1121,Onyx Lamp,Electronics,89
P-1122,Cobalt Chair,Home,45.69
P-1123,Cobalt Desk,Toys,295.68
P-1124,Cobalt Lamp,Toys,32.11
P-1125,Quartz Mug,Apparel,48.07
P-1126,Onyx Kettle,Toys,98.17
P-1127,Verde Kettle,Toys,142.99
P-1128,Harbor Planter,Home,231.34
P-1129,Aurora Mug,Toys,162.73
P-1130,Nimbus Vase,Grocery,185.16
P-1131,Quartz Chair,Apparel,65.54
P-1132,Pebble Vase,Garden,85.81
P-1133,Harbor Stool,Toys,179.71
P-1134,Pebble Vase,Home,285.1
P-1135,Onyx Clock,Grocery,271.46
P-1136,Quartz Chair,Toys,35
P-1137,Ember Kettle,Garden,32.01
P-1138,Lumen Stool,Garden,34.14
P-1139,Onyx Rug,Electronics,241.7
P-1140,Quartz Planter,Electronics,180.23
P-1141,Quartz Chair,Apparel,77.4
P-1142,Verde Desk,Apparel,163.45
P-1143,Onyx Lamp,Grocery,108.39
P-1144,Quartz Planter,Toys,168.42
P-1145,Onyx Rug,Garden,172.14
P-1146,Aurora Planter,Electronics,130.65
P-1147,Aurora Desk,Garden,237.57
P-1148,Lumen Planter,Toys,162.04
P-1149,Onyx Rug,Apparel,283.86
P-1150,Nimbus Desk,Electronics,262.72
P-1151,Lumen Chair,Electronics,105
P-1152,Lumen Planter,Electronics,19.06
P-1153,Verde Mug,Apparel,113.83
P-1154,Harbor Planter,Electronics,141.81
P-1155,Verde Chair,Apparel,73.23
P-1156,Cobalt Mug,Apparel,278.02
P-1157,Lumen Clock,Home,77.92
P-1158,Aurora Kettle,Garden,94.64
P-1159,Lumen Rug,Garden,183.99
P-1160,Nimbus Lamp,Home,245.02
P-1161,Pebble Rug,Toys,161.74
P-1162,Ember Vase,Home,51.06
P-1163,Harbor Mug,Electronics,113.01
P-1164,Harbor Vase,Toys,105.14
P-1165,Ember Stool,Garden,292.2
P-1166,Aurora Clock,Electronics,166.8
P-1167,Lumen Stool,Home,286.8
P-1168,Ember Kettle,Toys,125.45
P-1169,Verde Vase,Home,168.24
P-1170,Lumen Vase,Electronics,63.63
P-1171,Cobalt Desk,Grocery,187.4
P-1172,Verde Kettle,Garden,58.37
P-1173,Lumen Planter,Apparel,190.74
P-1174,Nimbus Chair,Garden,54.11
P-1175,Onyx Planter,Home,66.37
P-1176,Pebble Lamp,Apparel,131.5
P-1177,Pebble Lamp,Apparel,179.01
P-1178,Quartz Planter,Home,117.84
P-1179,Onyx Chair,Home,156.62
P-1180,Pebble Chair,Garden,127.41
P-1181,Harbor Kettle,Grocery,60.43
P-1182,Harbor Clock,Garden,265.15
P-1183,Pebble Vase,Garden,146.24
P-1184,Aurora Desk,Home,84.12
P-1185,Verde Kettle,Home,299.03
P-1186,Pebble Chair,Garden,44.26
P-1187,Cobalt Planter,Home,169.66
P-1188,Nimbus Stool,Electronics,225.51
P-1189,Ember Planter,Grocery,35.13
P-1190,Harbor Chair,Grocery,195.28
P-1191,Aurora Rug,Home,148.86
P-1192,Verde Kettle,Grocery,181.53
