id,productId,region,units,soldAt
S-100000,P-1101,Central,35,2024-08-28T00:00:00.000Z
S-100001,P-1009,Central,22,2024-05-15T00:00:00.000Z
S-100002,P-1109,East,49,2024-08-09T00:00:00.000Z
S-100003,P-1109,East,32,2024-06-14T00:00:00.000Z
S-100004,P-1148,Central,73,2024-05-25T00:00:00.000Z
S-100005,P-1003,North,43,2024-12-28T00:00:00.000Z
S-100006,P-1097,Central,50,2024-06-27T00:00:00.000Z
S-100007,P-1156,West,53,2024-12-26T00:00:00.000Z
S-100008,P-1167,West,57,2024-06-22T00:00:00.000Z
S-100009,P-1176,South,72,2024-09-27T00:00:00.000Z
S-100010,P-1236,North,25,2024-06-07T00:00:00.000Z
S-100011,P-1177,West,61,2024-05-13T00:00:00.000Z
S-100012,P-1209,West,72,2024-03-24T00:00:00.000Z
S-100013,P-1150,West,21,2024-12-11T00:00:00.000Z
S-100014,P-1182,North,4,2024-07-08T00:00:00.000Z
S-100015,P-1104,West,34,2024-01-02T00:00:00.000Z
S-100016,P-1236,West,76,2024-12-13T00:00:00.000Z
S-100017,P-1137,Central,7,2024-02-04T00:00:00.000Z
S-100018,P-1056,West,10,2024-12-09T00:00:00.000Z
S-100019,P-1232,South,5,2024-06-06T00:00:00.000Z
S-100020,P-1054,Central,19,2024-11-20T00:00:00.000Z
S-100021,P-1153,East,46,2024-06-01T00:00:00.000Z
S-100022,P-1011,South,27,2024-04-06T00:00:00.000Z
S-100023,P-1122,South,65,2024-10-10T00:00:00.000Z
S-100024,P-1152,North,20,2024-08-26T00:00:00.000Z
S-100025,P-1198,North,50,2024-05-25T00:00:00.000Z
S-100026,P-1126,Central,16,2024-05-29T00:00:00.000Z
S-100027,P-1128,East,1,2024-10-25T00:00:00.000Z
S-100028,P-1161,East,75,2024-11-18T00:00:00.000Z
S-100029,P-1221,North,54,2024-04-04T00:00:00.000Z
S-100030,P-1129,South,8,2024-09-09T00:00:00.000Z
S-100031,P-1038,Central,75,2024-02-16T00:00:00.000Z
S-100032,P-1120,East,14,2024-03-18T00:00:00.000Z
S-100033,P-1115,East,57,2024-05-24T00:00:00.000Z
S-100034,P-1235,South,4,2024-07-18T00:00:00.000Z
S-100035,P-1089,East,55,2024-07-07T00:00:00.000Z
S-100036,P-1022,East,36,2024-03-25T00:00:00.000Z
S-100037,P-1191,South,26,2024-02-16T00:00:00.000Z
S-100038,P-1061,West,38,2024-02-26T00:00:00.000Z
S-100039,P-1037,Central,18,2024-08-29T00:00:00.000Z
S-100040,P-1200,South,61,2024-12-24T00:00:00.000Z
S-100041,P-1061,Central,46,2024-07-30T00:00:00.000Z
S-100042,P-1033,West,75,2024-08-04T00:00:00.000Z
S-100043,P-1116,South,80,2024-02-22T00:00:00.000Z
S-100044,P-1082,North,45,2024-07-05T00:00:00.000Z
S-100045,P-1220,South,68,2024-10-31T00:00:00.000Z
